부동산종류,단지명,중간매매단가(만원/3.3㎡),준공년월,총세대수,대표면적(㎡),최소매매단가(만원/3.3㎡),최대매매단가(만원/3.3㎡),최대면적(㎡),최소면적(㎡),최소매매가(만원),최대매매가(만원),중간매매가(만원)
아파트,아크레타아이콤스타시티(도시형),1079.0,201805,37,36.0,895.0,1102.0,48.74,36.31,11500.0,13000.0,11750.0
아파트,세종펠리스(도시형),1258.0,202002,170,46.0,1000.0,1258.0,46.93,36.65,12000.0,17500.0,17500.0
아파트,가재6단지세경,1284.0,201610,310,103.0,1139.0,1380.0,103.24,102.62,35500.0,43000.0,40000.0
아파트,가재11단지한신휴플러스,1799.0,201312,696,79.0,1590.0,1967.0,114.66,79.96,38000.0,65000.0,43000.0
아파트,가온5단지중흥S-클래스센텀시티,2194.0,201801,370,113.0,1834.0,2633.0,149.2,113.31,66000.0,101000.0,75000.0
아파트,새뜸12단지예미지,2499.0,201704,472,82.0,2123.0,2822.0,116.25,82.92,54000.0,86000.0,62000.0
아파트,호려울7단지세종대방디엠시티(주상복합),2194.0,201909,548,116.0,2051.0,4775.0,180.16,115.88,74000.0,260000.0,77000.0
아파트,펜트빌(도시형),1940.0,202305,56,83.0,1940.0,1940.0,83.69,83.69,48700.0,48700.0,48700.0
아파트,퍼스트시티(도시형),1102.0,201610,27,33.0,1102.0,1299.0,33.44,28.44,11000.0,11000.0,11000.0
아파트,세종더휴예미지(새나루마을3단지),1789.0,202111,508,109.0,1674.0,2061.0,126.13,77.61,39000.0,73000.0,59000.0
아파트,해들4단지중흥S클래스에듀퍼스트,1952.0,201808,1015,127.0,1698.0,2561.0,142.33,111.4,57000.0,110000.0,75000.0
아파트,SR파크(도시형),843.0,201410,140,51.0,843.0,875.0,51.94,36.08,13000.0,13500.0,13000.0
아파트,블루지움(도시형),735.0,201504,150,45.0,639.0,826.0,81.12,43.49,8500.0,17800.0,10000.0
아파트,씨즈파크뷰(도시형),1264.0,201902,128,34.0,862.0,1361.0,46.32,29.39,10000.0,14000.0,13000.0
아파트,가온1단지힐스테이트세종2차,1853.0,201803,1631,132.0,1703.0,2487.0,163.76,79.36,45000.0,110000.0,74000.0
아파트,가락1단지세종힐데스하임,1828.0,201811,555,132.0,1520.0,2896.0,157.7,132.34,62000.0,120000.0,73000.0
아파트,세종하늘채센트레빌(새나루마을8단지),1820.0,202203,499,109.0,1631.0,2050.0,130.04,77.77,38000.0,80000.0,60000.0
아파트,라온프라이빗시티Ⅰ(도시형),715.0,201411,290,37.0,687.0,804.0,57.58,35.03,7900.0,12500.0,8000.0
아파트,세종모닝시티2차(도시형),900.0,201602,216,36.0,826.0,1010.0,40.34,34.84,9000.0,11000.0,9800.0
아파트,범지기9단지세종한신휴플러스엘리트파크,1562.0,201503,687,127.0,1354.0,2134.0,127.73,110.49,50000.0,82000.0,60000.0
아파트,가재4단지세종센트레빌,1503.0,201507,1623,99.0,1372.0,1771.0,112.26,98.98,41100.0,60000.0,45000.0
아파트,가락12단지세종한림풀에버,1553.0,202309,458,132.0,1453.0,3064.0,178.09,132.2,58000.0,165000.0,62000.0
아파트,가락3단지베르디움,1549.0,201411,424,111.0,1381.0,1632.0,111.49,79.01,33000.0,53000.0,52000.0
아파트,가락21단지에듀센트럴,1489.0,201508,406,111.0,1281.0,1638.0,129.83,111.07,46000.0,63000.0,50000.0
아파트,도램5단지모아엘가에코힐,1935.0,201501,403,82.0,1613.0,2016.0,84.09,82.87,40000.0,50000.0,48000.0
아파트,세종지웰푸르지오,2269.0,201903,190,102.0,1950.0,3532.0,117.65,100.13,59000.0,125000.0,70000.0
아파트,세종하늘채센트레빌(새나루마을2단지),1572.0,202111,318,82.0,1451.0,1955.0,93.29,82.48,36000.0,55000.0,39000.0
아파트,세종하늘채펜트라움I(도시형),1724.0,202403,166,64.0,1550.0,1983.0,67.66,63.32,30000.0,39000.0,33380.0
아파트,범지기10단지푸르지오,1653.0,201408,1970,98.0,1459.0,1902.0,128.35,98.7,44000.0,68000.0,49000.0
아파트,세종어울림파밀리에센트럴M4블록(새나루마을9단지),2034.0,202111,598,78.0,1666.0,2119.0,131.86,78.3,41000.0,80000.0,48000.0
